iter	Passed	Remaining
796	5932	1510
797	5940	1503
798	5948	1496
799	5957	1489
800	5965	1482
801	5972	1474
802	5980	1467
803	5988	1459
804	5995	1452
805	6002	1444
806	6009	1437
807	6018	1430
808	6025	1422
809	6033	1415
810	6041	1407
811	6049	1400
812	6057	1393
813	6064	1385
814	6073	1378
815	6081	1371
816	6089	1364
817	6097	1356
818	6105	1349
819	6114	1342
820	6123	1335
821	6131	1327
822	6138	1320
823	6146	1312
824	6154	1305
825	6162	1298
826	6171	1291
827	6179	1283
828	6187	1276
829	6195	1268
830	6203	1261
831	6211	1254
832	6219	1246
833	6226	1239
834	6233	1231
835	6240	1224
836	6248	1216
837	6255	1209
838	6262	1201
839	6270	1194
840	6277	1186
841	6285	1179
842	6292	1171
843	6300	1164
844	6308	1157
845	6315	1149
846	6323	1142
847	6331	1134
848	6338	1127
849	6347	1120
850	6354	1112
851	6362	1105
852	6369	1097
853	6377	1090
854	6385	1082
855	6391	1075
856	6399	1067
857	6405	1060
858	6413	1052
859	6420	1045
860	6428	1037
861	6437	1030
862	6444	1023
863	6452	1015
864	6459	1008
865	6466	1000
866	6473	993
867	6481	985
868	6489	978
869	6498	970
870	6504	963
871	6512	955
872	6519	948
873	6527	941
874	6535	933
875	6541	926
876	6549	918
877	6556	911
878	6565	903
879	6572	896
880	6579	888
881	6585	881
882	6595	873
883	6602	866
884	6610	859
885	6617	851
886	6626	844
887	6634	836
888	6642	829
889	6650	821
890	6656	814
891	6663	806
892	6672	799
893	6679	791
894	6687	784
895	6694	777
896	6700	769
897	6710	762
898	6717	754
899	6727	747
900	6734	739
901	6742	732
902	6749	725
903	6756	717
904	6763	710
905	6770	702
906	6777	694
907	6783	687
908	6791	679
909	6799	672
910	6807	665
911	6814	657
912	6822	650
913	6830	642
914	6838	635
915	6847	627
916	6855	620
917	6862	612
918	6868	605
919	6876	597
920	6884	590
921	6891	583
922	6898	575
923	6908	568
924	6914	560
925	6923	553
926	6930	545
927	6939	538
928	6946	530
929	6953	523
930	6961	515
931	6968	508
932	6976	500
933	6982	493
934	6989	485
935	6996	478
936	7005	470
937	7013	463
938	7021	456
939	7028	448
940	7035	441
941	7044	433
942	7051	426
943	7060	418
944	7068	411
945	7075	403
946	7083	396
947	7091	389
948	7098	381
949	7105	373
950	7112	366
951	7120	359
952	7127	351
953	7135	344
954	7144	336
955	7152	329
956	7159	321
957	7167	314
958	7175	306
959	7182	299
960	7190	291
961	7197	284
962	7205	276
963	7214	269
964	7221	261
965	7228	254
966	7237	246
967	7244	239
968	7252	232
969	7259	224
970	7266	217
971	7274	209
972	7280	202
973	7289	194
974	7296	187
975	7303	179
976	7309	172
977	7317	164
978	7324	157
979	7334	149
980	7341	142
981	7350	134
982	7357	127
983	7364	119
984	7371	112
985	7380	104
986	7388	97
987	7395	89
988	7403	82
989	7410	74
990	7416	67
991	7423	59
992	7432	52
993	7440	44
994	7450	37
995	7460	29
996	7466	22
997	7473	14
998	7481	7
999	7488	0
